"ACL00","STARTIME","UNIT","SEX","GEO","TIME","Value"
"Total","Total (24 hours)","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Total","Turkey","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Total","Turkey","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","Total (24 hours)","Participation rate (%)","Total","Serbia","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Total","Serbia","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Total","Romania","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Total","Romania","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Males","Turkey","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Males","Turkey","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","Total (24 hours)","Participation rate (%)","Males","Serbia","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Males","Serbia","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Males","Romania","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Males","Romania","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Females","Turkey","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Females","Turkey","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","Total (24 hours)","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","Total (24 hours)","Participation rate (%)","Females","Serbia","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Females","Serbia","2010","100"
"Total","Total (24 hours)","Participation rate (%)","Females","Romania","2000","-1"
"Total","Total (24 hours)","Participation rate (%)","Females","Romania","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Total","Romania","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Males","Romania","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 04:00 to 04:09","Participation rate (%)","Females","Romania","2010","100"
"Total","From 04:10 to 04:19","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 04:10 to 04:19","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 04:10 to 04:19","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 04:10 to 04:19","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 04:10 to 04:19","Participation rate (%)","Total","Slovenia","2000","100.00"
